time,flow
0.00,0.000000
0.01,0.522642
0.02,1.039558
0.03,1.545085
0.04,2.033684
0.05,2.500000
0.06,2.938926
0.07,3.345653
0.08,3.715724
0.09,4.045085
0.10,4.330127
0.11,4.567727
0.12,4.755283
0.13,4.890738
0.14,4.972610
0.15,5.000000
0.16,4.972610
0.17,4.890738
0.18,4.755283
0.19,4.567727
0.20,4.330127
0.21,4.045085
0.22,3.715724
0.23,3.345653
0.24,2.938926
0.25,2.500000
0.26,2.033684
0.27,1.545085
0.28,1.039558
0.29,0.522642
0.30,0.000000
0.35,0.000000
0.50,0.000000
0.75,0.000000
1.00,0.000000
